Datetime,Open,High,Low,Close,Adj Close,Volume,EMA_20,EMA_10
2024-02-06 22:30:00,43195.8359375,43201.33203125,43194.36328125,43196.71484375,43196.71484375,0,,
2024-02-06 22:45:00,43189.19921875,43198.25,43160.6953125,43198.25,43198.25,15625216,,
2024-02-06 23:00:00,43192.8203125,43218.03515625,43155.703125,43160.51171875,43160.51171875,0,,
2024-02-06 23:15:00,43163.71875,43163.71875,43069.13671875,43097.3359375,43097.3359375,5223424,,
2024-02-06 23:30:00,43101.8671875,43125.703125,43078.234375,43125.703125,43125.703125,8528896,,
2024-02-06 23:45:00,43125.58203125,43127.80859375,43079.1015625,43085.640625,43085.640625,11201536,,
2024-02-07 00:00:00,43090.01953125,43119.0234375,43089.65625,43099.0859375,43099.0859375,8552448,,
2024-02-07 00:15:00,43080.82421875,43176.140625,43077.8203125,43165.13671875,43165.13671875,6455296,,
2024-02-07 00:30:00,43165.12890625,43171.08203125,43060.84375,43060.84375,43060.84375,78747648,,
2024-02-07 00:45:00,43059.09765625,43082.31640625,43054.0,43080.9921875,43080.9921875,22156288,,43127.021484375
2024-02-07 01:00:00,43072.765625,43152.10546875,43072.765625,43144.41796875,43144.41796875,11687936,,43130.18448153409
2024-02-07 01:15:00,43163.01953125,43163.01953125,43116.8359375,43126.93359375,43126.93359375,8840192,,43129.59341102789
2024-02-07 01:30:00,43125.9140625,43150.890625,43122.83984375,43126.76953125,43126.76953125,2782208,,43129.079978341004
2024-02-07 01:45:00,43119.57421875,43119.57421875,43045.8515625,43045.8515625,43045.8515625,34537472,,43113.947539097186
2024-02-07 02:00:00,43041.546875,43074.20703125,43041.546875,43066.32421875,43066.32421875,0,,43105.288753579516
2024-02-07 02:15:00,43072.0625,43072.0625,43038.43359375,43038.43359375,43038.43359375,20480,,43093.13326997415
2024-02-07 02:30:00,43037.26171875,43049.23046875,43012.90625,43047.24609375,43047.24609375,0,,43084.7901470243
2024-02-07 02:45:00,43040.76953125,43081.72265625,43035.45703125,43046.31640625,43046.31640625,2627584,,43077.79492142898
2024-02-07 03:00:00,43029.12109375,43031.6796875,42980.6484375,42980.6484375,42980.6484375,0,,43060.13192435098
